run_number,rate_avg_value
48256,971284.9027342431
48255,1057908.4956256817
48254,
48253,1213393.9409824521
48252,
48251,1696404.9175390762
48250,0
48249,0
48248,0
48247,0
48246,822783.6522224195
48245,848765.9743317118
48244,849957.5479539573
48243,
48242,801434.1221435897
48241,846570.7478380952
48240,855117.9394749411
48239,842631.249426887
48238,884244.4745453877
48237,891821.471314737
48236,875180.1197390455
48235,
48234,928564.7517389536
48233,1036221.461018759
48232,1096139.5597489611
48231,1280261.169138789
48228,87039.63332828578
48227,
48226,
48225,
48224,
48223,
48222,
48221,
48220,0
48219,
48218,
48217,
48200,
48190,762553.650145742
48189,720716.6084840989
48188,802373.4034115192
48187,800605.1341982986
48186,856596.6136088482
48185,869279.2879278322
48181,917194.2532474678
48180,956268.7254055175
48179,946384.4593322574
48178,1017912.6097062272
48177,1043217.1959954093
48176,1121695.2664474864
48173,1241591.8478100162
48172,1239681.728183102
48171,
48170,1294024.301388889
48168,818742.7873563218
48167,874692.1781425287
48166,872288.3865077591
48165,157018
48164,336111.3520905187
48163,136700.04257241377
48162,0
48161,0
48160,0
48159,
48158,0
48157,
48156,
48155,
48154,0
48153,
48152,0
48151,
48150,
48148,
48147,
48146,
48145,
48144,0
48141,0
48140,0
48139,0
48138,0
48137,0
48134,0
48133,0
48131,
48130,0
48129,0
48128,
48127,0
48126,0
48125,
48124,
48122,0
48121,0
48120,0
48119,0
48118,
48117,0
48116,
48115,
48114,
48112,
48111,
48110,
48109,
48108,0
48107,
48106,0
48105,0
48104,0
48103,0
48102,0
48101,0
48100,799769.2716547619
48099,863135.1202281385
48098,
48097,889653.6462183597
48096,
48095,
48094,
48090,
48089,1077052.4642504344
48088,1288601.2952192756
48087,1067109.598386207
48086,883690.6169142284
48085,909101.2728875641
48084,963110.8910872542
48083,
48082,1000696.9372422844
48081,
48080,995488.4844896104
48079,1055452.4754120691
48078,1096747.7374034482
48077,1093945.7116988506
48076,1131385.81562919
48073,1215810.273915873
48072,1270975.8992068963
48070,1339195.6753931034
48069,
48068,1227629.7296735635
48067,
48066,1422884.6489172413
48065,1367794.6013333334
48064,1453866.869875862
48063,714588.7322222221
48062,1270737.3938068964
48061,897424.8072916667
48060,1593942.8472222225
48059,1162662.2851328258
48056,
48055,
48054,
48053,0.015182849816849817
48052,
48051,0.01674022988505747
48050,
48049,1741645.3793103448
48048,435596.7722460966
48047,0
48046,0
48045,
48044,
48043,0
48042,0
48040,0
48039,0
48038,0
48037,0
48036,
48035,
48029,465869.86763642123
48028,849455.6886732891
48027,1011379.5562499999
48026,
48025,119191.65483272601
48024,761656.7081959471
48023,809486.9676905823
48022,
48021,130610.33702528736
48020,
48019,1053770.3037463084
48017,995528.5443293033
48015,1051892.5085867667
48014,835730.4338199999
48011,1020225.0565792659
48009,1125586.0129785715
48008,1135986.9833417463
48007,1120682.074389368
48006,372967.3703703704
48005,
48004,
48003,1204402.2777355786
48002,1223446.4616576666
48001,1144638.2055643299
48000,1423752.1187908046
47999,1286527.6189814028
47998,641578.0873495798
47997,
47996,
47994,1309966.6222222224
47993,787863.805952381
47992,1864220.902291358
47991,132318.425
47989,766666.5346583333
47988,0
47986,
47985,
47983,
47982,391918.7823485587
47981,331777.28963666665
47980,5504.61416
47979,640351.8473554133
47978,692133.7945414194
47977,702194.0567285802
47976,712959.8208938828
47975,759712.799032511
47974,756159.5344139517
47973,700870.1344946177
47972,795851.816736678
47971,793967.4367424241
47970,
47969,895268.3237391897
47968,
47967,917060.979407775
47966,984356.9460082887
47965,
47964,
47963,
47962,1082567.5365649834
47961,
47960,
47959,
47958,789975.8311013263
47957,197721.92557028812
47956,0
47955,0
47954,0
47953,0
47952,
47950,
47949,
47948,
47946,1385373.8440439487
47944,1486292.239596234
47942,1613808.0042528736
47940,1764378.5934934865
47939,1783922.894641507
47937,648113.7413793105
47936,1837235.6509342075
47935,
47934,
47932,0
47931,0
47930,0
47929,
47928,0
47927,0
47926,0
47925,0
47924,0
47923,0
47922,
47921,0
47920,
47919,
47918,0
47917,0
47916,0
47915,
47914,
47913,
47912,0
47911,
47910,0
47909,0
47908,
47907,0
47906,0
47905,0
47904,0
47903,0
47902,0
47901,0
47900,
47898,0
47895,
47894,
47893,1229723.7078626293
47892,1344147.925927132
47891,1266578.498937931
47890,1370729.3709879632
47889,1369036.0711361058
47888,1458780.751315789
47886,
47885,
47884,
47883,1744213.382527586
47882,1645974.5460574653
47881,370739.30319142423
47880,
47879,0
47878,0
47877,955981.4396551724
47876,
47875,931551.1379310346
47873,903181.6841377938
47872,224887.20689655174
47871,774367.4527579322
47870,925040.6840796296
47869,875205.7963448443
47868,875118.8333333334
47867,885674.4408365786
47866,721587.7165522613
47865,
47864,876521.1
47863,472944.44187282765
47862,0
47861,0
47859,736821.1564225288
47858,946888.1583328444
47856,913170.3940187484
47855,994508.9580367816
47854,515840.2361309834
47853,
47852,962469.9240449149
47851,232312.0640919753
47850,
47849,0
47848,756078.279726852
47847,196913.5268346596
47846,957453.7872359675
47845,376992.1778174325
47844,947133.3526267738
47843,5269.242716666667
